user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
SRR22878281_fastq_bin_1030637_fasta	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__SZUA-35;g__CALEWY01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__SZUA-35;g__CALEWY01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	92.31	11	0.98824	N/A
SRR22878281_fastq_bin_1047037_fasta	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudophaeobacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudophaeobacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000473205.1, s__Pseudophaeobacter arcticus, 95.0, 84.77, 0.368; GCA_025163595.1, s__Pseudophaeobacter sp905479575, 95.0, 84.65, 0.368; GCF_900313025.1, s__Pseudophaeobacter sp900313025, 95.0, 84.58, 0.372; GCF_001294455.1, s__Pseudophaeobacter sp001294455, 95.0, 83.77, 0.331; GCF_000152965.1, s__Pseudophaeobacter sp000152965, 95.0, 83.31, 0.271; GCF_001457775.1, s__Pseudophaeobacter sp001457775, 95.0, 82.51, 0.211; GCF_029697505.1, s__Pseudophaeobacter sp029697505, 95.0, 82.31, 0.226; GCA_015665415.1, s__Pseudophaeobacter sp015665415, 95.0, 82.29, 0.21; GCF_002087335.1, s__Pseudophaeobacter leonis, 95.0, 82.25, 0.216; GCF_021228235.1, s__Pseudophaeobacter flagellatus, 95.0, 82.21, 0.231; GCA_913054455.1, s__Pseudophaeobacter sp913054455, 95.0, 82.14, 0.212	81.03	11	0.99619	N/A
SRR22878281_fastq_bin_1048668_fasta	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Arenicellales;f__Arenicellaceae;g__Arenicella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Arenicellales;f__Arenicellaceae;g__Arenicella;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	98.47	11	0.94688	N/A
SRR22878281_fastq_bin_1065179_fasta	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__JAUIGD01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__JAUIGD01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	82.2	11	0.87982	N/A
SRR22878281_fastq_bin_1069559_fasta	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__SHLQ01;g__SHLQ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__SHLQ01;g__SHLQ01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	90.72	11	0.97178	N/A
SRR22878281_fastq_bin_1070024_fasta	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA10347;g__UBA10347;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA10347;g__UBA10347;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	89.08	11	0.9548	N/A
SRR22878281_fastq_bin_1078928_fasta	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Xenococcaceae;g__Waterburya;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Xenococcaceae;g__Waterburya;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	76.37	11	0.96733	N/A
SRR22878281_fastq_bin_1177133_fasta	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__SHLQ01;g__SHLQ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__SHLQ01;g__SHLQ01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	87.73	11	0.92954	N/A
SRR22878281_fastq_bin_1190068_fasta	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	72.61	11	0.99476	N/A
SRR22878281_fastq_bin_1223417_fasta	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__Aridibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__Aridibacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	67.33	11	0.95238	N/A
